400,412,443,490,510,560,620,665,674,681,709,754
0.007128062,0.007304651,0.006121818,0.005489014,0.004432951,0.003416947,0.000953577,0.000589061,0.000557229,0.000524672,0.000293123,7.77E-05
0.003606098,0.00376556,0.003936761,0.004695113,0.004190454,0.003462097,0.000986588,0.000612889,0.000580278,0.000546831,0.000307195,8.17E-05
0.00413367,0.004266137,0.00423031,0.004770641,0.004185646,0.003381624,0.000950088,0.000590648,0.000559345,0.000526933,0.000294965,7.84E-05
0.003845603,0.003955159,0.003976717,0.00455875,0.004041307,0.003344879,0.000978345,0.000615743,0.000583207,0.000551378,0.000319506,8.74E-05
0.003796717,0.003940848,0.0040654,0.004825351,0.004356745,0.003675108,0.001080389,0.000680307,0.000645782,0.000608828,0.000340787,9.12E-05
0.00363916,0.003754046,0.003770502,0.004386433,0.003928864,0.003300015,0.000964154,0.000604772,0.000572984,0.000541065,0.000309259,8.34E-05
0.004189657,0.004380342,0.004419542,0.004978728,0.004404774,0.003677301,0.001090633,0.000686078,0.000650973,0.000613558,0.000343325,9.18E-05
0.003406778,0.003567479,0.003765315,0.004560093,0.00408947,0.003432274,0.001014142,0.000631578,0.00059646,0.000564033,0.000330959,9.09E-05
0.003607035,0.003821519,0.004052622,0.004821727,0.004348927,0.003668763,0.00106623,0.000666429,0.000631573,0.000595179,0.000333338,8.87E-05
0.003133366,0.003313099,0.003665209,0.004636598,0.004226157,0.00360437,0.001084621,0.000688244,0.000653646,0.000617295,0.000351211,9.51E-05
0.004607614,0.004835595,0.004685869,0.004984819,0.004253294,0.003423831,0.000972306,0.000606465,0.000574409,0.000541977,0.00030599,8.17E-05
0.003464558,0.003656794,0.003900799,0.004742576,0.004295629,0.00366512,0.001101001,0.000691,0.000654162,0.000618119,0.000356546,9.71E-05
0.004953954,0.005147703,0.004914067,0.005140156,0.004350689,0.003453321,0.000975951,0.000608129,0.000576035,0.000543052,0.000305124,8.13E-05
0.00476304,0.004945234,0.004740397,0.004969723,0.004218185,0.003333367,0.000928483,0.000576063,0.000545264,0.000514158,0.000290974,7.79E-05
0.004111435,0.004226901,0.004162975,0.004633991,0.004070742,0.003348691,0.000992944,0.000624929,0.000591991,0.000559548,0.000321885,8.76E-05
0.004206693,0.004361605,0.004413758,0.005077316,0.004663017,0.004132371,0.001600946,0.001114168,0.001069337,0.001019764,0.000620149,0.000175763
0.003183671,0.003269884,0.003437384,0.004225304,0.00387826,0.003357075,0.001033775,0.000658927,0.000625083,0.00059208,0.000348831,9.72E-05
0.003829805,0.003935404,0.003957095,0.004543881,0.004021659,0.003276872,0.000930148,0.000578651,0.00054728,0.000516887,0.000301897,8.35E-05
0.004012138,0.004100026,0.004028464,0.004568807,0.004043335,0.003327053,0.000963051,0.000605388,0.000573972,0.000541889,0.00031103,8.49E-05
0.0035842,0.003745269,0.003934132,0.004725098,0.004254528,0.003613416,0.001068238,0.000673577,0.000638942,0.00060392,0.000344998,9.36E-05
0.005742956,0.005904279,0.005112149,0.004898538,0.004083776,0.003239394,0.000929849,0.000582256,0.000551235,0.000520994,0.00030171,8.21E-05
